DMG1111A01C2106;MG1CS111-11.12;Audi EA888 Gen3;Yes;Yes;MG1CS111;807876;785058;"VW MDL_HIL : MG1CS111_C / 2106_MQB2020_OPF_NTK_DQ7_CANv9 ; 210401";632335;SWB26.1.HF1;5.4.5.173((Build 22628));VeMoX231R00;VME;released;"DMG1111A01C2106/Model/HiL/SWB26.1.HF1/VME/VW MDL_HIL : MG1CS111_C / 2106_MQB2020_OPF_NTK_DQ7_CANv9 ; 210401";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/632335
DMG1111A01C1938;MG1CS111-12.12;Audi EA888 Gen3.5;Yes;Yes;MG1CS111;807876;2724816;VW MDL : MG1CS111_C / 1938_MQB2020_OPF_NTK_DQ7_CANv9_LCO5415;2724815;CSP2023.1;5.4.15.290;VeMoX231R00;VME;released;DMG1111A01C1938_NY22A11/Model/HiL/CSP2023.1/VME/VW MDL : MG1CS111_C / 1938_MQB2020_OPF_NTK_DQ7_CANv9_LCO5415;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/2724815
DMG1111A01C1938 Hbr;MG1CS111-12.12;Audi EA888 Gen3.5;Yes;Yes;MG1CS111;807876;2724816;VW MDL : MG1CS111_C / 1938_MQB2020_OPF_NTK_DQ7_CANv9_LCO5415;2724815;CSP2023.1;5.4.15.290;VeMoX231R00;VME;released;DMG1111A01C1938_NY22A11/Model/HiL/CSP2023.1/VME/VW MDL : MG1CS111_C / 1938_MQB2020_OPF_NTK_DQ7_CANv9_LCO5415;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/2724815
DMG1111A01C1939;MG1CS111-12.12;Audi EA888 Gen3.5;Yes;Yes;MG1CS111;807876;785074;VW MDL _ MG1CS111_C _ 1939_MQB_OPF_NTK_DQ7_CANv7_LCO5415_2798287;3392045;CSP2023.1;5.4.15.290((Build 22628));VeMoX231R00;VME;released;DMG1111A01C1939/Model/HiL/CSP2023.1/VME/VW MDL _ MG1CS111_C _ 1939_MQB_OPF_NTK_DQ7_CANv7_LCO5415_2798287;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3392045
DMG1111A01C1939 Hbr;MG1CS111-12.12;Audi EA888 Gen3.5;Yes;Yes;MG1CS111;807876;785074;VW MDL _ MG1CS111_C _ 1939_MQB_OPF_NTK_DQ7_CANv7_LCO5415_2798287;3392045;CSP2023.1;5.4.15.290((Build 22628));VeMoX231R00;VME;released;DMG1111A01C1939/Model/HiL/CSP2023.1/VME/VW MDL _ MG1CS111_C _ 1939_MQB_OPF_NTK_DQ7_CANv7_LCO5415_2798287;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3392045
DMG1111A01C2107;MG1CS111-11.7;Audi EA888 Gen3.5;Yes;Yes;MG1CS111;807876;784948;"VW MDL : MG1CS111_C / 2107_MLBevo_OPF_NTK_DQ7_MHEV_FXv8 ; 200415";100770;SWB26.1.HF1;5.4.5.173((Build 22628));;VME;released;"DMG1111A01C2107/Model/HiL/SWB26.1.HF1/VME/VW MDL : MG1CS111_C / 2107_MLBevo_OPF_NTK_DQ7_MHEV_FXv8 ; 200415";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/100770
DMG1142A01C2293 (Gen3,5);MG1CS142 - 2.2;Audi EA888 Gen3.5 UNECE;Yes;Yes;MG1CS142;802241;895904;VW MDL : MG1CS142_C / 2293_NTK_DQ7_CANv14_SOK_LCO5415;3442508;CSP2023.1;5.4.15.173((Build 22628));VeMoX231R00;VME;released;DMG1142A01C2293/Model/HiL/CSP2023.1/VME/VW MDL : MG1CS142_C / 2293_NTK_DQ7_CANv14_SOK_LCO5415;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3442508
DMG1142A01C2317 (Gen3);MG1CS142 - 2.2;Audi EA888 Gen3 UNECE;Yes;Yes;MG1CS142;802241;987668;VW MDL : MG1CS142_C / 2317_NTK_DQ7_CANv14_SOK_LCO5415;3442360;CSP2023.1;5.4.15.173((Build 22628));VeMoX231R00;VME;released;DMG1142A01C2317/Model/HiL/CSP2023.1/VME/VW MDL : MG1CS142_C / 2317_NTK_DQ7_CANv14_SOK_LCO5415;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3442360
DMG1031A01C1682;MG1CS031-3.1;Audi EA888 Evo4 Lk1;Yes;Yes;MG1CS031;802205;784633;"VW MDL_HIL : MG1CS031_C / 1682_MLBevo_OPF_NTK_MQ_MHEV_FXv8 ; 201022";391519;SWB26.1;5.4.5.173((Build 22628));VeMoX231R00;VME;released;"DMG1031A01C1682/Model/HiL/SWB26.1/VME/VW MDL_HIL : MG1CS031_C / 1682_MLBevo_OPF_NTK_MQ_MHEV_FXv8 ; 201022";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/391519
DMG1031A01C2099 ƛ=1;MG1CS031-3.1;Audi EA888 Evo4 Lk1;Yes;No;MG1CS031;802205;784776;;;;;;;;;
DMG1031A02C1731;MG1CS031-3.2;Audi EA888 Evo4 Lk1;Yes;Yes;MG1CS031;802205;784763;1731_MQB2020_OPF_NTK_DQ7_MHEV_CANv9;1518533;;5.4.13.359;;VME;archived;DMG1031A02C1731/Model/HiL/5.4.13/VME/1731_MQB2020_OPF_NTK_DQ7_MHEV_CANv9;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/1518533
DMG1031A01C1922;MG1CS031-3.2;Audi EA888 Evo4 Lk1;Yes;Yes;MG1CS031;802205;784723;VW MDL : MG1CS031_C / 1922_MQB_OPF_NTK_DQ7_CANv7;3315535;CSP_LC_2023.1;5.4.15.290;VeMoX231R00;VME;released;DMG1031A01C1922/Model/HiL/CSP_LC_2023.1/VME/VW MDL : MG1CS031_C / 1922_MQB_OPF_NTK_DQ7_CANv7;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3315535
